NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DT_ATUALIZACAO
"FLUDIOXONIL";"Quimico";0.5000000000;"F49";"FLUDIOXONIL";"131341861";"SIM";"Feijões";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 185, DE 28 DE SETEMBRO DE 2022";"10/05/2022 00:00:00";;"09/24/2025 00:00:00"
"FLUDIOXONIL";"Quimico";0.2000000000;"F49";"FLUDIOXONIL";"131341861";"SIM";"Soja";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE N°2.363, DE 23 DE AGOSTO DE 2019";"08/26/2019 00:00:00";;"09/24/2025 00:00:00"
"FAMOXADONA";"Quimico";0.0200000000;"F53";"FAMOXADONA";"131807573";"SIM";"Cenoura";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"01/24/2016 00:00:00";"09/24/2025 00:00:00"
"FENPROPATRINA";"Quimico";0.2000000000;"F28";"FENPROPATRINA";"39515418";"SIM";"Berinjela";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 3.420, DE 3 DE DEZEMBRO DE 2019";"12/09/2019 00:00:00";"06/30/2024 00:00:00";"09/24/2025 00:00:00"
"ESPIROMESIFENO";"Quimico";0.0400000000;"E26";"ESPIROMESIFENO";"283594901";"SIM";"Algodão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN N° 305, DE 28 DE JUNHO DE 2024";"07/01/2024 00:00:00";;"09/24/2025 00:00:00"
"Acetato de fentina";"Quimico";0.0000000000;"F59.1";"Acetato de fentina";"900958";"NÃO";"Cebola";"Limite de tolerância";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 1.967, DE 18 DE JULHO DE 2019";"07/22/2019 00:00:00";;"09/24/2025 00:00:00"
"DIAFENTIUROM";"Quimico";0.2000000000;"D41";"DIAFENTIUROM";"80060099";"SIM";"Café";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 3.253, DE 12 DE JULHO DE 2010";"07/13/2010 00:00:00";;"09/24/2025 00:00:00"
"ESPIROMESIFENO";"Quimico";0.0200000000;"E26";"ESPIROMESIFENO";"283594901";"SIM";"Beterraba";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.090, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";;"09/24/2025 00:00:00"
"FLUTRIAFOL";"Quimico";0.2000000000;"F36";"FLUTRIAFOL";"76674210";"SIM";"Pepino";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.288, DE 24 DE AGOSTO DE 2017";"08/28/2017 00:00:00";;"09/24/2025 00:00:00"
"FLONICAMIDA";"Quimico";0.0200000000;"F62";"FLONICAMIDA";"158062670";"SIM";"Milheto";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA  IN N° 205, DE 16 DE FEVEREIRO DE 2023";"02/22/2023 00:00:00";;"09/24/2025 00:00:00"
"DIAFENTIUROM";"Quimico";0.1000000000;"D41";"DIAFENTIUROM";"80060099";"SIM";"Guaraná";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN N° 268, DE 12 DE DEZEMBRO DE 2023";"12/13/2023 00:00:00";;"09/24/2025 00:00:00"
"ESPIROMESIFENO";"Quimico";0.0300000000;"E26";"ESPIROMESIFENO";"283594901";"SIM";"Algodão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"06/30/2024 00:00:00";"09/24/2025 00:00:00"
"ESPIROMESIFENO";"Quimico";0.7000000000;"E26";"ESPIROMESIFENO";"283594901";"SIM";"Berinjela";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.090, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";;"09/24/2025 00:00:00"
"ESPIROMESIFENO";"Quimico";0.0500000000;"E26";"ESPIROMESIFENO";"283594901";"SIM";"Dendê";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.090, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";;"09/24/2025 00:00:00"
"ESPIROMESIFENO";"Quimico";0.2000000000;"E26";"ESPIROMESIFENO";"283594901";"SIM";"Melancia";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.090, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";;"09/24/2025 00:00:00"
"ESPIROMESIFENO";"Quimico";0.7000000000;"E26";"ESPIROMESIFENO";"283594901";"SIM";"Pimenta";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.090, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";;"09/24/2025 00:00:00"
